[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s
[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s

[Classical] seed=2024
  [full] ep 38/50 | reward=-9.318 loss=0 lat=12.194s E=6.441J cost=9.318 avgQ=0.00 t=3.523s
  [full] ep 39/50 | reward=-8.580 loss=0 lat=11.279s E=5.881J cost=8.580 avgQ=0.00 t=3.576s
  [full] ep 40/50 | reward=-6.611 loss=0 lat=8.828s E=4.394J cost=6.611 avgQ=0.00 t=3.646s
  [full] ep 41/50 | reward=-7.729 loss=0 lat=10.217s E=5.241J cost=7.729 avgQ=0.00 t=3.524s
  [full] ep 42/50 | reward=-8.760 loss=0 lat=11.477s E=6.043J cost=8.760 avgQ=0.00 t=3.578s
  [full] ep 43/50 | reward=-7.472 loss=0 lat=9.904s E=5.039J cost=7.472 avgQ=0.00 t=3.667s
  [full] ep 44/50 | reward=-7.575 loss=0 lat=10.034s E=5.115J cost=7.575 avgQ=0.00 t=3.616s
  [full] ep 45/50 | reward=-7.790 loss=0 lat=10.251s E=5.328J cost=7.790 avgQ=0.00 t=3.623s
  [full] ep 46/50 | reward=-10.000 loss=0 lat=13.114s E=6.886J cost=10.000 avgQ=0.00 t=3.569s
  [full] ep 47/50 | reward=-8.294 loss=0 lat=10.942s E=5.645J cost=8.294 avgQ=0.00 t=3.525s
  [full] ep 48/50 | reward=-10.836 loss=0 lat=14.148s E=7.523J cost=10.836 avgQ=0.00 t=3.581s
  [full] ep 49/50 | reward=-8.448 loss=0 lat=11.110s E=5.786J cost=8.448 avgQ=0.00 t=3.587s
  [full] ep 50/50 | reward=-7.737 loss=0 lat=10.225s E=5.249J cost=7.737 avgQ=0.00 t=3.572s
[Classical] seed=2026 DONE | reward=-9.0980 lat=11.9421s E=6.2538J miss=0.9558 train=179.7s

[Classical] seed=2027
  [full] ep  1/50 | reward=-7.858 loss=0 lat=10.095s E=5.621J cost=7.858 avgQ=0.00 t=4.646s
  [full] ep  2/50 | reward=-8.295 loss=0 lat=10.630s E=5.961J cost=8.295 avgQ=0.00 t=4.189s
  [full] ep  3/50 | reward=-7.981 loss=0 lat=10.249s E=5.714J cost=7.981 avgQ=0.00 t=4.134s
  [full] ep  4/50 | reward=-7.053 loss=0 lat=9.098s E=5.007J cost=7.053 avgQ=0.00 t=4.11s
  [full] ep  5/50 | reward=-6.367 loss=0 lat=8.352s E=4.381J cost=6.367 avgQ=0.00 t=4.123s
  [full] ep  6/50 | reward=-8.251 loss=0 lat=10.565s E=5.936J cost=8.251 avgQ=0.00 t=4.067s
  [full] ep  7/50 | reward=-8.552 loss=0 lat=10.931s E=6.174J cost=8.552 avgQ=0.00 t=4.132s
  [full] ep  8/50 | reward=-7.177 loss=0 lat=9.322s E=5.032J cost=7.177 avgQ=0.00 t=4.14s
  [full] ep  9/50 | reward=-7.053 loss=0 lat=9.168s E=4.937J cost=7.053 avgQ=0.00 t=4.123s
  [full] ep 10/50 | reward=-7.397 loss=0 lat=9.577s E=5.217J cost=7.397 avgQ=0.00 t=4.204s
  [full] ep 11/50 | reward=-7.202 loss=0 lat=9.353s E=5.050J cost=7.202 avgQ=0.00 t=4.04s
  [full] ep 12/50 | reward=-6.880 loss=0 lat=8.905s E=4.856J cost=6.880 avgQ=0.00 t=4.121s
  [full] ep 13/50 | reward=-7.381 loss=0 lat=9.539s E=5.222J cost=7.381 avgQ=0.00 t=4.125s
  [full] ep 14/50 | reward=-7.762 loss=0 lat=9.995s E=5.529J cost=7.762 avgQ=0.00 t=4.13s
  [full] ep 15/50 | reward=-7.138 loss=0 lat=9.206s E=5.069J cost=7.138 avgQ=0.00 t=4.137s
  [full] ep 16/50 | reward=-6.297 loss=0 lat=8.256s E=4.339J cost=6.297 avgQ=0.00 t=4.086s
  [full] ep 17/50 | reward=-6.005 loss=0 lat=7.909s E=4.101J cost=6.005 avgQ=0.00 t=4.06s
  [full] ep 18/50 | reward=-9.073 loss=0 lat=11.600s E=6.546J cost=9.073 avgQ=0.00 t=4.144s
  [full] ep 19/50 | reward=-7.603 loss=0 lat=9.865s E=5.342J cost=7.603 avgQ=0.00 t=4.139s
  [full] ep 20/50 | reward=-8.034 loss=0 lat=10.333s E=5.734J cost=8.034 avgQ=0.00 t=4.062s
  [full] ep 21/50 | reward=-7.941 loss=0 lat=10.206s E=5.676J cost=7.941 avgQ=0.00 t=4.166s
  [full] ep 22/50 | reward=-7.235 loss=0 lat=9.377s E=5.094J cost=7.235 avgQ=0.00 t=4.08s
  [full] ep 23/50 | reward=-7.740 loss=0 lat=9.986s E=5.494J cost=7.740 avgQ=0.00 t=4.217s
  [full] ep 24/50 | reward=-7.739 loss=0 lat=9.986s E=5.493J cost=7.739 avgQ=0.00 t=4.13s
  [full] ep 25/50 | reward=-7.401 loss=0 lat=9.574s E=5.229J cost=7.401 avgQ=0.00 t=4.089s
  [full] ep 26/50 | reward=-6.668 loss=0 lat=8.718s E=4.617J cost=6.668 avgQ=0.00 t=4.067s
  [full] ep 27/50 | reward=-6.611 loss=0 lat=8.588s E=4.633J cost=6.611 avgQ=0.00 t=4.137s
  [full] ep 28/50 | reward=-7.004 loss=0 lat=9.107s E=4.900J cost=7.004 avgQ=0.00 t=4.07s
  [full] ep 29/50 | reward=-6.715 loss=0 lat=8.757s E=4.674J cost=6.715 avgQ=0.00 t=4.124s
  [full] ep 30/50 | reward=-7.664 loss=0 lat=9.871s E=5.456J cost=7.664 avgQ=0.00 t=4.167s
  [full] ep 31/50 | reward=-7.601 loss=0 lat=9.842s E=5.360J cost=7.601 avgQ=0.00 t=4.088s
  [full] ep 32/50 | reward=-8.198 loss=0 lat=10.530s E=5.867J cost=8.198 avgQ=0.00 t=4.169s
  [full] ep 33/50 | reward=-7.251 loss=0 lat=9.367s E=5.136J cost=7.251 avgQ=0.00 t=4.086s
  [full] ep 34/50 | reward=-7.029 loss=0 lat=9.138s E=4.919J cost=7.029 avgQ=0.00 t=4.245s
  [full] ep 35/50 | reward=-6.731 loss=0 lat=8.746s E=4.716J cost=6.731 avgQ=0.00 t=4.131s
  [full] ep 36/50 | reward=-7.120 loss=0 lat=9.193s E=5.047J cost=7.120 avgQ=0.00 t=4.113s
  [full] ep 37/50 | reward=-8.416 loss=0 lat=10.761s E=6.070J cost=8.416 avgQ=0.00 t=4.139s
  [full] ep 38/50 | reward=-7.015 loss=0 lat=9.003s E=5.027J cost=7.015 avgQ=0.00 t=4.116s
  [full] ep 39/50 | reward=-6.740 loss=0 lat=8.788s E=4.692J cost=6.740 avgQ=0.00 t=4.105s
  [full] ep 40/50 | reward=-6.280 loss=0 lat=8.195s E=4.365J cost=6.280 avgQ=0.00 t=4.119s
  [full] ep 41/50 | reward=-7.196 loss=0 lat=9.357s E=5.034J cost=7.196 avgQ=0.00 t=4.121s
  [full] ep 42/50 | reward=-7.754 loss=0 lat=9.975s E=5.534J cost=7.754 avgQ=0.00 t=4.153s
  [full] ep 43/50 | reward=-6.587 loss=0 lat=8.558s E=4.616J cost=6.587 avgQ=0.00 t=4.073s
  [full] ep 44/50 | reward=-7.739 loss=0 lat=9.986s E=5.492J cost=7.739 avgQ=0.00 t=4.097s
  [full] ep 45/50 | reward=-7.710 loss=0 lat=9.910s E=5.510J cost=7.710 avgQ=0.00 t=4.168s
  [full] ep 46/50 | reward=-6.589 loss=0 lat=8.629s E=4.549J cost=6.589 avgQ=0.00 t=4.099s
  [full] ep 47/50 | reward=-7.964 loss=0 lat=10.237s E=5.690J cost=7.964 avgQ=0.00 t=4.118s
  [full] ep 48/50 | reward=-9.557 loss=0 lat=12.174s E=6.940J cost=9.557 avgQ=0.00 t=4.122s
  [full] ep 49/50 | reward=-6.726 loss=0 lat=8.749s E=4.703J cost=6.726 avgQ=0.00 t=4.168s
  [full] ep 50/50 | reward=-8.475 loss=0 lat=10.912s E=6.038J cost=8.475 avgQ=0.00 t=4.146s
[Classical] seed=2027 DONE | reward=-7.8149 lat=10.0902s E=5.5397J miss=0.9665 train=206.8s

[Classical] seed=2028
  [full] ep  1/50 | reward=-10.053 loss=0 lat=13.276s E=6.829J cost=10.053 avgQ=0.00 t=4.104s
  [full] ep  2/50 | reward=-8.293 loss=0 lat=11.014s E=5.571J cost=8.293 avgQ=0.00 t=3.648s
  [full] ep  3/50 | reward=-8.896 loss=0 lat=11.797s E=5.995J cost=8.896 avgQ=0.00 t=3.574s
  [full] ep  4/50 | reward=-9.727 loss=0 lat=12.831s E=6.622J cost=9.727 avgQ=0.00 t=3.579s
  [full] ep  5/50 | reward=-11.306 loss=0 lat=14.885s E=7.727J cost=11.306 avgQ=0.00 t=3.574s
  [full] ep  6/50 | reward=-9.586 loss=0 lat=12.691s E=6.481J cost=9.586 avgQ=0.00 t=3.574s
  [full] ep  7/50 | reward=-10.829 loss=0 lat=14.258s E=7.401J cost=10.829 avgQ=0.00 t=3.516s
  [full] ep  8/50 | reward=-8.257 loss=0 lat=10.981s E=5.533J cost=8.257 avgQ=0.00 t=3.551s
  [full] ep  9/50 | reward=-8.599 loss=0 lat=11.428s E=5.771J cost=8.599 avgQ=0.00 t=3.662s
  [full] ep 10/50 | reward=-10.037 loss=0 lat=13.264s E=6.811J cost=10.037 avgQ=0.00 t=3.499s
